"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"ecological-model-2"
"02/12/2021 16:25:06:600 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"tree-sequest-rate","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6","0.6","0.6","0.8","0.8","0.8","0.8","0.8","1","1","1","1","1"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions"
,"6.9896","6.98999","6.99012","6.9844","6.9883","6.76779","6.79412","6.76034","6.76939","6.79338","6.60121","6.57251","6.52926","6.59048","6.60975","6.46525","6.29739","6.28982","6.40579","6.4441299999999995","5.99126","6.1214699999999995","6.03965","6.16905","6.16869","5.85304","5.78557","6.2189499999999995","6.06395","5.97291"
