"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"ecological-model-3"
"02/12/2021 17:02:08:075 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180"
"miscan-sequest-rate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"willow-sequest-rate","0","0","0","0","0","10","10","10","10","10","20","20","20","20","20","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50","0","0","0","0","0","10","10","10","10","10","20","20","20","20","20","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50","0","0","0","0","0","10","10","10","10","10","20","20","20","20","20","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50","0","0","0","0","0","10","10","10","10","10","20","20","20","20","20","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50","0","0","0","0","0","10","10","10","10","10","20","20","20","20","20","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50","0","0","0","0","0","10","10","10","10","10","20","20","20","20","20","30","30","30","30","30","40","40","40","40","40","50","50","50","50","50"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions"
,"7","7","7","7","7","6.95275","6.94775","6.942","6.939","6.9475","6.901","6.9085","6.8975","6.8905","6.888","6.883","6.84925","6.86275","6.83425","6.856","6.829","6.767","6.784","6.775","6.783","6.7625","6.72625","6.76125","6.725","6.73125","6.95675","6.957","6.94025","6.94475","6.9555","6.903","6.8975","6.8975","6.898","6.89","6.841","6.8335","6.86425","6.8455","6.82525","6.758","6.811","6.767","6.773","6.802","6.73125","6.74625","6.75125","6.7","6.77375","6.682","6.6565","6.703","6.6505","6.667","6.898","6.9105","6.907","6.892","6.9","6.83275","6.841","6.8575","6.86425","6.8335","6.804","6.813","6.771","6.799","6.806","6.77125","6.765","6.765","6.735","6.7525","6.5965","6.691","6.7135","6.688","6.7735","6.58875","6.6955","6.559","6.64825","6.56075","6.847","6.8185","6.8545","6.88225","6.83425","6.799","6.826","6.769","6.794","6.774","6.73875","6.73875","6.74375","6.76125","6.7125","6.694","6.727","6.7045","6.712","6.7225","6.6745","6.64825","6.6255","6.6395","6.62375","6.56","6.594","6.592","6.604","6.5","6.81","6.777","6.787","6.815","6.816","6.7425","6.73","6.76625","6.7125","6.73125","6.67","6.6775","6.643","6.724","6.751","6.657","6.58525","6.657","6.67275","6.62375","6.644","6.592","6.552","6.546","6.59","6.5365","6.5275","6.50275","6.5815","6.44875","6.71625","6.735","6.7225","6.7275","6.73125","6.7015","6.727","6.6775","6.7225","6.6715","6.66225","6.66225","6.60975","6.6745","6.629","6.546","6.634","6.6","6.554","6.668","6.487","6.55225","6.5275","6.496","6.52975","6.5825","6.5","6.4575","6.5125","6.5475"
