"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"economic-model-1"
"02/17/2021 15:04:26:717 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"agro-payment-rate-ha","0","0","0","0","0","0","0","0","0","0","500","500","500","500","500","500","500","500","500","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares","trees-planted-hectares"
,"4500","4550","4100","4400","4050","4400","3950","4750","2950","5600","6000","5650","6500","5300","5300","5550","5850","5700","3650","5350","7000","7350","7250","7650","5600","7450","5750","7500","5750","7800","7300","7100","7900","9400","6750","7400","8550","8000","9150","7700","9550","8950","9100","9250","8800","8100","7800","8250","9750","9100","9350","9200","9700","8550","9400","8200","8300","8750","8650","8450","7800","10400","9150","9100","8900","7300","11300","8550","8600","10000"
