"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"network-model-3"
"02/17/2021 16:55:57:225 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"trad-neighbours","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","8","8","8","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","10","10"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares"
,"9300","9000","12050","10750","12450","11350","9650","10500","9950","11600","11250","12600","12250","13650","10550","13050","14050","13750","12850","12000","13250","13050","14950","12300","13550","12750","13500","14250","14050","13300","15200","14250","12200","12900","13850","13850","13250","13600","13650","11400","13950","13450","12550","12550","14650","14550","13400","11850","15650","12650","14700","14250","13150","14800","12350","15550","13150","14500","12950","12800"
