"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"social-model-2"
"02/17/2021 12:12:16:917 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"farmers-with-successor","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6","0.6","0.6","0.8","0.8","0.8","0.8","0.8","1","1","1","1","1"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares"
,"7600","7450","6750","6900","5850","10000","6850","10850","7650","7950","9350","8550","9000","9950","8700","10200","9450","9650","9750","9200","9700","8600","9400","9850","11100","8100","8600","9900","9050","9650"
