"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"network-model-3"
"02/17/2021 17:11:21:292 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"trad-neighbours","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","8","8","8","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","10","10"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares","trees-planted-hectares + crops-planted-hectares"
,"8550","7400","7200","7800","6800","9350","8800","8700","7400","7100","10300","8700","10800","8950","10600","8350","10450","11650","11050","10400","12650","10600","11600","10400","10750","9500","11200","12550","13200","10900","10150","12000","10400","10250","11400","11950","9450","10000","12200","11450","8750","12400","10100","11600","12050","11250","11950","10400","10950","12350","11000","9450","12300","10800","12200","9600","11500","10550","10500","10550"
