"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"economic-model-2"
"02/17/2021 15:13:53:967 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"bio-payment-rate-ha","0","0","0","0","0","0","0","0","0","0","500","500","500","500","500","500","500","500","500","500","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares","crops-planted-hectares"
,"4400","4650","4650","4050","5600","2800","5350","3650","4000","3800","6050","7450","5500","4750","6200","6550","6150","5550","5700","5450","7050","6100","6700","7850","8100","6850","7550","6100","8100","7250","10000","8150","10200","8100","9000","8500","6700","8750","7650","7700","8550","9450","9550","9000","6850","8200","9850","8150","7850","8000","8750","7900","9250","8500","8850","8150","9150","9450","9500","7800","9100","9600","9500","9100","10200","11550","8050","7850","8350","9100"
