"BehaviorSpace results (NetLogo 6.1.1)"
"12:2:21.nlogo"
"ecological-model-1"
"02/12/2021 16:11:44:549 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"num-trees-ha","0","0","0","0","0","50","50","50","50","50","100","100","100","100","100","150","150","150","150","150","200","200","200","200","200","250","250","250","250","250","300","300","300","300","300"
"[steps]","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"

"[initial & final values]","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions","GHG-emissions-initial - GHG-reductions"
,"6.98531","6.98492","6.98609","6.98739","6.98869","6.69255","6.73403","6.7061399999999995","6.71278","6.72244","6.54859","6.48132","6.58181","6.37765","6.52914","6.11997","6.12205","6.16189","6.1995000000000005","6.17325","6.00817","6.04005","6.03765","5.98687","5.91382","5.61135","5.73322","5.759","5.57567","5.43283","5.45106","5.6269","5.30778","5.3944","5.75518"
